District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PSregistered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;423;3,11;78;4,24;501;0,23
112;Tunis 2;251;1,84;30;1,63;281;0,12
120;Ariana;660;4,85;170;9,23;830;0,4
130;Ben Arous;0;0;0;0;0;0
140;Manouba;5316;39,04;510;27,7;5826;4,14
151;Nabeul 1;0;0;0;0;0;0
152;Nabeul 2;0;0;0;0;0;0
160;Zaghouan;0;0;0;0;0;0
170;Bizerte;0;0;0;0;0;0
210;Beja;0;0;0;0;0;0
220;Jendouba;0;0;0;0;0;0
230;Kef;0;0;0;0;0;0
240;Siliana;297;2,18;36;1,96;333;0,43
310;Sousse;0;0;0;0;0;0
320;Monastir;1846;13,56;317;17,22;2163;1,02
330;Mahdia;996;7,31;219;11,9;1215;0,86
341;Sfax 1;0;0;0;0;0;0
342;Sfax 2;0;0;0;0;0;0
410;Kairouan;2263;16,62;254;13,8;2517;1,4
420;Kasserine;0;0;0;0;0;0
430;Sidi Bouzid;0;0;0;0;0;0
510;Gabes;1116;8,2;123;6,68;1239;0,85
520;Medenine;0;0;0;0;0;0
530;Tataouine;450;3,3;104;5,65;554;1,24
610;Gafsa;0;0;0;0;0;0
620;Tozeur;0;0;0;0;0;0
630;Kebili;0;0;0;0;0;0
;France1;0;0;0;0;0;0
;France2;0;0;0;0;0;0
;Italie;0;0;0;0;0;0
;Allemagne;0;0;0;0;0;0
;Amerique;0;0;0;0;0;0
;Monde arabe;0;0;0;0;0;0
;Total;13618;0,37;1841;0,31;15459;0,36
