District ID;Electoral district ;Votes in actively registered PS;Ratio of total votes for the list in actively registered PS;Votes in automatically registered PS;Ratio of total votes for the list in automatically registered PS;Total  votes in the district;Ratio of total votes of the district
111;Tunis 1;367;3,21;52;3,24;419;0,19
112;Tunis2;0;0;0;0;0;0
120;Ariana;5752;50,25;869;54,08;6621;3,21
130;Ben Arous;169;1,48;21;1,31;190;0,08
140;Manouba;417;3,64;43;2,68;460;0,33
151;Nabeul 1;392;3,42;71;4,42;463;0,26
152;Nabeul 2;417;3,64;40;2,49;457;0,34
160;Zaghouan;154;1,35;17;1,06;171;0,26
170;Bizerte;367;3,21;58;3,61;425;0,2
210;Beja;149;1,3;16;1;165;0,15
220;Jendouba;418;3,65;100;6,22;518;0,38
230;Kef;298;2,6;36;2,24;334;0,35
240;Siliana;0;0;0;0;0;0
310;Sousse;0;0;0;0;0;0
320;Monastir;245;2,14;49;3,05;294;0,14
330;Mahdia;152;1,33;39;2,43;191;0,14
341;Sfax 1;487;4,25;65;4,04;552;0,35
342;Sfax 2;0;0;0;0;0;0
410;Kairouan;259;2,26;30;1,87;289;0,16
420;Kasserine;0;0;0;0;0;0
430;Sidi Bouzid;666;5,82;55;3,42;721;0,52
510;Gabes;0;0;0;0;0;0
520;Medenine;0;0;0;0;0;0
530;Tataouine;0;0;0;0;0;0
610;Gafsa;117;1,02;25;1,56;142;0,11
620;Tozeur;200;1,75;21;1,31;221;0,47
630;Kebili;0;0;0;0;0;0
;France1;189;1,65;0;0;189;0,28
;France2;231;2,02;0;0;231;0,41
;Italie;0;0;0;0;0;0
;Allemagne;0;0;0;0;0;0
;Amerique;0;0;0;0;0;0
;Monde arabe;0;0;0;0;0;0
;Total;11446;0,31;1607;0,27;13053;0,3
